digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;
629;593;639;699;54917;61658;63829;62281;5570239;6238434;6336067;6203238;565174575;625443872;624354173;630442688;
1215;1120;1189;1180;123574;123889;124645;124425;12372750;12488320;12496680;12492349;1237114944;1249965130;1249938685;1249879734;
972;1015;1072;1089;91597;93874;96309;97722;9260260;9509710;9438399;9403672;941300719;939509179;935609725;942318585;
1176;1225;1176;1029;112774;120259;121756;120758;11252749;12202559;12397520;12422515;1127927441;1246475070;1243275134;1246375072;
457;555;457;457;8871;9370;9370;9370;128385;153380;143382;153380;1833409;2133403;2133403;2233401;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;
100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;
226;297;262;281;3803;4778;4707;4826;61920;90476;89133;87547;780591;1528571;1515091;1620547;
298;283;245;253;14700;4696;4382;4465;1265609;67960;72226;69316;125128273;926170;910289;915140;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;
248;264;260;262;3958;4302;4289;4307;54424;59638;59596;59646;689613;762456;762353;762490;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;
727;113;-;-;55465;1996;-;-;5575287;154980;-;-;565224623;15027289;-;-;
442;276;284;275;4060;4316;59619;4324;54809;60531;60442;60447;701369;772663;764081;765465;
415;416;739;799;7370;7806;67829;66281;111238;114911;6412419;6279590;1450375;1485960;625447197;631535712;

