;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DataType;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;-;;DataType;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;-
BubbleSort;1170;1215;1222;1089;123210;124120;123889;124254;12366172;12495355;12496939;12490945;1237271680;1249965547;1249943122;1249948665;314842412,1;;BubbleSort;0,0000117;0,00001215;0,00001222;0,00001089;0,0012321;0,0012412;0,00123889;0,00124254;0,12366172;0,12495355;0,12496939;0,12490945;12,3727168;12,49965547;12,49943122;12,49948665;3,148424121
ShakerSort;949;949;972;1105;98185;94615;94615;100219;9509710;9568090;9482760;9411130;936361510;942764922;938736225;939559014;237236560,6;;ShakerSort;0,00000949;0,00000949;0,00000972;0,00001105;0,00098185;0,00094615;0,00094615;0,00100219;0,0950971;0,0956809;0,0948276;0,0941113;9,3636151;9,42764922;9,38736225;9,39559014;2,372365606
OddEvenSort;1029;1225;1176;1274;113772;120758;120259;117265;11252749;12337532;12417516;12212557;1124327513;1246575068;1248475030;1244275114;307021864,8;;OddEvenSort;0,00001029;0,00001225;0,00001176;0,00001274;0,00113772;0,00120758;0,00120259;0,00117265;0,11252749;0,12337532;0,12417516;0,12212557;11,24327513;12,46575068;12,4847503;12,44275114;3,070218648
CombSort;457;457;457;506;8871;9370;9370;9370;128385;148381;143382;153380;1733411;2133403;2233401;2183402;556000,1875;;CombSort;0,00000457;0,00000457;0,00000457;0,00000506;0,00008871;0,0000937;0,0000937;0,0000937;0,00128385;0,00148381;0,00143382;0,0015338;0,01733411;0,02133403;0,02233401;0,02183402;0,005560002
SelectionSort;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;315649618,8;;SelectionSort;0,00001225;0,00001225;0,00001225;0,00001225;0,0012475;0,0012475;0,0012475;0,0012475;0,124975;0,124975;0,124975;0,124975;12,49975;12,49975;12,49975;12,49975;3,156496188
CountingSort;100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;27775;;CountingSort;0,000001;0,000001;#VALUE!;#VALUE!;0,00001;0,00001;#VALUE!;#VALUE!;0,0001;0,0001;#VALUE!;#VALUE!;0,001;0,001;#VALUE!;#VALUE!;#VALUE!
ShellSort;232;253;279;240;4026;4951;4903;5092;61858;92170;90679;89524;778912;1549594;1575107;1596530;365896,875;;ShellSort;0,00000232;0,00000253;0,00000279;0,0000024;0,00004026;0,00004951;0,00004903;0,00005092;0,00061858;0,0009217;0,00090679;0,00089524;0,00778912;0,01549594;0,01575107;0,0159653;0,003658969
QuickSort;301;232;217;345;14086;4611;4830;4392;1276632;76262;72083;69869;125235304;921314;918640;940828;8096246,625;;QuickSort;0,00000301;0,00000232;0,00000217;0,00000345;0,00014086;0,00004611;0,0000483;0,00004392;0,01276632;0,00076262;0,00072083;0,00069869;1,25235304;0,00921314;0,0091864;0,00940828;0,080962466
MergeSort;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;212761,5;;MergeSort;0,00000286;0,00000286;0,00000286;0,00000286;0,00004488;0,00004488;0,00004488;0,00004488;0,00061808;0,00061808;0,00061808;0,00061808;0,00784464;0,00784464;0,00784464;0,00784464;0,002127615
HeapSort;252;266;266;262;3951;4303;4293;4303;54377;59520;59609;59598;690259;762426;762526;762445;201791;;HeapSort;0,00000252;0,00000266;0,00000266;0,00000262;0,00003951;0,00004303;0,00004293;0,00004303;0,00054377;0,0005952;0,00059609;0,00059598;0,00690259;0,00762426;0,00762526;0,00762445;0,00201791
